word,phoneme,en_short,vi,hint_level
anastigmat,,a camera term,消像散,1
anastomosis,,a joining of parts,吻合术,1
anastrophe,,the change of word order,anaastrophe,1
anastylosis,,a science term,吻合术,1
anathematisation,,formal act of declaring as bad,咒骂,1
anathematization,,act wishing bad luck on one,咒骂,1
anatotitan,,an animal from past times,安纳托泰坦,1
anatoxin,,a science term,鱼腥草毒素,1
ancestress,,a woman relative from the past,祖先压力,1
anchorperson,,one who gives the news on TV,主持人,1
anchusa,,a kind of plant,安丘萨,1
anchylosis,,inability to bend a joint,关节僵硬,1
ancientness,,extreme old age,古老性,1
andelmin,,a kind of tree,安德明,1
andesite,/ˈændɪˌsaɪt/,a kind of rock,安山岩,1
andradite,,a valuable stone,钙铁矿,1
andrena,,a type of bee,安德雷娜,1
andrenid,,a kind of insect,安德烈尼德,1
androecium,,a science term,雄蕊群,1
androgen,,substance produced in males,雄激素,1
androgenesis,,a medical term,雄激素发生,1
androgeny,,a medical term,雄激素,1
androglossia,,woman's voice with male qualities,雌雄舌症,1
androgyne,,one that has both sexual parts,雌雄同体,1
andromeda,/ænˈdɹɑmədə/,a type of plant,仙女座,1
androphobia,,a strange fear of men,男性恐惧症,1
androsterone,,a medical term,雄酮,1
andryala,,a kind of plant,安德里亚拉,1
anecdotist,,one skilled in telling stories,轶事家,1
anemography,,act of recording wind,风速描记术,1
anemometer,/ˌænəˈmɑmətɝ/,a device for recording wind,风速计,1
anemometry,,act of measuring wind,风速测量,1
anencephalia,,a medical condition,无脑症,1
anencephaly,/ænɪnˈsɛfəɫi/,a medical condition,无脑畸形,1
anergy,,a medical term,无能,1
aneroid,,device that measures pressure,无液,1
anesthesiology,/ˌænəsθiziˈɑɫədʒi/,study of pain reducing drugs,麻醉学,2
anesthyl,,a substance used in medicine,麻醉剂,1
anestrum,,a science term,内情,1
anestrus,,a science term,不发情,1
aneuploidy,,an unusual cell condition,非整倍体,1
aneurism,"/ˈænjʊˌɹɪzəm/, /ˈænjʊˌɹɪzm/",a heart disease,动脉瘤,1
aneurysm,"/ˈænjʊˌɹɪzəm/, /ˈænjʊˌɹɪzm/",a kind of heart disease,动脉瘤,2
angelfish,/ˈeɪndʒəɫˌfɪʃ/,a kind of fish,神仙鱼,1
angelica,"/ˈændʒəˌɫikə/, /ænˈdʒɛɫɪkə/",a type of plant,当归,1
angelim,,a kind of tree,安杰利姆,1
angelique,/ˌændʒɛˈɫik/,a kind of plant,安琪莉可,1
angelology,,a branch of religious study,天使学,1
angelus,,the sound of a church bell,三钟经,2
angiitis,,a medical condition,血管炎,1
angiocardiogram,,a series of medical images,心血管造影,1
angiocarp,,a kind of tree,被子果,1
angioedema,,a medical condition,血管性水肿,1
angiogenesis,/ˌændʒioʊˈdʒɛnəsəs/,the formation of blood vessels,血管生成,1
angiogram,/ˈænˌdʒioʊˌɡɹæm/,an image of blood vessels,血管造影,2
angiography,,examination of blood vessels,血管造影,1
angiohemophilia,,a medical condition,血管血友病,1
angiologist,,a kind of doctor,血管科医生,1
angiology,,a branch of medical science,血管学,1
angioma,,a growth of tissue,血管瘤,1
angiopathy,,disease of the blood vessels,血管病,1
angioplasty,/ˌænˌdʒiəˈpɫæsti/,a kind of operation,血管成形术,2
angiopteris,,a kind of plant,莲座蕨属,1
angiosarcoma,,a medical condition,血管肉瘤,1
angioscope,,a device used in medicine,血管镜,1
angiosperm,,plants having closed seeds,被子植物,1
angiotelectasia,,a medical term,血管扩张症,1
angiotensin,/ˌænˌdʒioʊˈtɛnsɪn/,a kind of medicine,血管紧张素,1
angiotonin,,a kind of medicine,血管紧张素,1
angledozer,,a kind of work truck,角推土机,1
anglerfish,,a kind of fish,琵琶鱼,1
anglewing,,a kind of insect,角翼,1
angleworm,,a kind of small animal,角虫,1
anglophil,,one who likes English things,亲英派,1
angostura,,part of a kind of tree,安戈斯图拉,1
angrecum,,a kind of flower,Angrecum,1
angriness,/ˈæŋɡɹiˌnɛs/,the state of not being happy,忾,1
angstrom,/ˈæŋstɹəm/,a unit of length,埃,1
angulation,,the act of making angles,角度,1
angwantibo,,a kind of animal,安万提博,1
anhedonia,,lack of ability to feel pleasure,快感缺失,1
anhidrosis,,failure to make water from skin,无汗症,1
anhinga,,a kind of bird,阿欣加,1
anhydride,/ænˈhaɪdɹɪd/,a science term,酐,1
anhydrosis,,a medical condition,脱水症,1
ani,,a type of bird,阿尼,2
anil,,a kind of plant,阿尼尔,1
aniline,/ˈænəˌɫin/,a dangerous liquid with uses,苯胺,1
anima,,the inner self,阿尼玛,1
animadversion,,mean criticism,反感,1
animalcule,,a tiny living thing,微生物,1
animalculum,,a tiny living thing,动物细胞,1
animalisation,,lack of normal human qualities,动物化,1
animalism,,focus on meeting physical drives,动物主义,1
animality,,the physical side of a person,动物性,1
animalization,,an image in an animal form,动物化,1
animateness,,state of having animal life,生命力,1
animatism,,application of life to objects,万物有灵论,1
animatronics,,machines looking like animals,电子动画,1
animist,/ˈænəməst/,relating to non human souls,万物有灵论者,1
anion,/ˈæˌnaɪɔn/,a small charged particle,负离子,1
anionic,,of a type of soap chemical,阴离子的,1
aniseikonia,,a medical condition,茴香属,1
anisogamete,,a science term,异配子,1
anisogamy,,a science term,异配,1
anisometropia,,a vision term,屈光参差,1
anisotropy,,a science term,各向异性,1
anjou,,a kind of fruit,安茹,1
anklebone,/ˈæŋkəɫˌboʊn/,a bone in the lower leg,踝骨,1
anklets,/ˈæŋkɫəts/,clothing for the foot,脚链,1
ankus,,a tool to urge animals on,安库斯,1
ankyloglossia,,a medical condition,强舌症,1
ankylosaur,,an animal from past times,甲龙,1
ankylosaurus,,an animal from past times,甲龙,1
ankylosis,,hardness of bones in a joint,强直,1
anlage,,a medical term,安拉格,1
anna,/ˈænə/,a coin,安娜,2
annalist,,one who writes events of past,编年史家,1
annealing,/əˈniɫɪŋ/,an act of making a thing hard,退火,1
annelid,/ˈænəɫɪd/,relating to an animal group,环节动物,1
annexa,,a medical term,附件,1
annihilator,,a total destroyer,歼灭者,1
annon,,a kind of fruit,安农,1
annotator,/ˌænəˈteɪtɝ/,one who writes notes to a text,注释者,1
annoyer,,one who is bothers others,烦人的,1
annualry,,the third finger,年鉴,1
annuitant,,one who gets insurance money,年金受益人,1
annulet,,a small ring,环带,1
annulus,,a ring shape,环,1
annum,/ˈænəm/,year,年,1
annunciator,,an electricity term,信号器,1
anoa,,a kind of animal,阿诺阿,1
anoestrum,,a science term,无发情期,1
anoestrus,,a science term,无发情期,1
anointer,,one who performs a religious act,涂油者,1
anointing,,the act of applying oil,恩膏,1
anole,,a kind of animal,阿诺莱,1
anomalist,,one who cares about special cases,异常论者,1
anomalops,,a kind of fish,异常动物,1
anomalopteryx,,a kind of animal,异翅鸟,1
anomalousness,,act of leaving normal order,异常现象,1
anomia,,a failure to name objects,失范症,1
anomie,/ˈænəmi/,a lack of moral standards,失范,1
anomy,,a lack of moral standards,失范,1
anonym,,a name that isn't real,化名,1
anopheline,,relating to a kind of insect,按蚊,1
anopia,,state of not seeing,无视,1
anorchia,,a medical condition,无睾症,1
anorchidism,,a medical condition,无睾症,1
anorchism,,a medical condition,无睾症,1
anorectic,,one with an eating disorder,厌食症,1
anorgasmia,,absence of an orgasm in sex,性快感缺失症,1
anorthite,/æˈnɔɹˌθaɪt/,a science term,钙长石,1
anorthography,,a medical condition,拼字法,1
anorthopia,,a medical condition,近视眼,1
anosmia,,absence of the sense of smell,嗅觉丧失症,1
anovulant,,substance to prevent pregnancy,无排卵剂,1
anovulation,,a state of not making eggs,不排卵,1
anoxemia,,a medical condition,缺氧症,1
anoxia,,an absence of oxygen,缺氧,1
answerability,,responsibility to someone,责任性,1
answerableness,,responsibility to someone,责任性,1
antapex,,a science term,安塔佩克斯,1
antbird,,a kind of bird,蚁鸟,1
antecedence,,the state of happening before,前因,1
antecedency,,happening before,先行性,1
antefix,,an architecture term,前缀,1
antepenult,,a language term,倒数前,1
antepenultima,,3rd part of a word from the end,倒数前,1
antepenultimate,,a language term,倒数第二个,1
anteriority,,happening before,先行性,1
anthelminthic,,a medical term,驱虫药,1
anthelmintic,,a medical term,驱虫药,1
antheridiophore,,a plant term,花药柄,1
antheridium,,a plant term,花药,1
antherozoid,,a plant term,类固醇,1
anthesis,,a plant term,花期,1
anthologist,/ænˈθɔɫəˌɡɪst/,an editor who makes selections,选集学家,1
anthophyllite,,a natural substance,直闪石,1
anthozoan,,a kind of water animal,珊瑚虫,1
anthracosis,,a medical condition,炭疽病,1
anthropocentricity,,a way of viewing reality,人类中心主义,1
anthropocentrism,,a way of viewing reality,人类中心主义,1
anthropogenesis,,the development of humans,人类发生,1
anthropogeny,,the development of humans,人类发生学,1
anthropolatry,,the praise of human beings,人类学,1
anthropometry,,the study of the human body,人体测量学,1
anthropomorphism,/ˌænθɹəpəˈmɔɹfɪzəm/,likeness of a thing in human form,拟人化,1
anthropophagite,,a person who eats humans,食人者,1
anthropophagus,,one who eats human flash,食人者,1
anthropophagy,,act of eating humans,食人行为,1
anthroposophy,,views based on Rudolf Steiner,人智学,1
anthurium,,a kind of plant,红掌,1
anti-American,,,反美的,1
antiacid,,a substance for the stomach,抗酸剂,1
antialiasing,,a computer term,抗锯齿,1
antiarrhythmic,,drug to treat heart problems,抗心律不整,1
antibaryon,,a chemistry term,反重子,1
antibiosis,,a science term,抗生素,1
anticatalyst,,a chemistry term,抗催化剂,1
anticholinergic,,a medical term,抗胆碱能药,1
anticholinesterase,,a kind of medicine,抗胆碱酯酶,1
anticipant,,one who waits for something,期待的,1
anticipator,,one who waits for something,预期者,1
anticoagulation,,a treatment to thin blood,抗凝,1
anticonvulsant,,a type of medical drug,抗惊厥药,1
antidiabetic,,a kind of medicine,抗糖尿病药,1
antidiarrheal,,a kind of medicine,止泻药,1
antidiuretic,,a kind of medicine,抗利尿剂,1
antielectron,,a physics term,反电子,1
antiemetic,,a kind of medicine,止吐药,1
antiepileptic,,a type of drug,抗癫痫药,1
antiestablishmentarianism,,a belief of opposition,反建制主义,1
antiestablishmentism,,a belief of opposition,反建制主义,1
antifeminism,,an activity in favor of men,反女权主义,1
antifeminist,,one questioning equal rights,反女权主义者,1
antiferromagnetism,,a science term,反铁磁性,1
antiflatulent,,substance that reduces gas,抗胀气剂,1
antifungal,"/ˌænˌtaɪˈfəŋɡəɫ/, /ˌænˌtiˈfəŋɡəɫ/",capable of destroying fungi,抗真菌剂,1
antigram,,a kind of word play,反格拉姆,1
antihypertensive,,drug that drops blood pressure,抗高血压,1
antiknock,/ˌæntiˈnɑk/,stopping engine noise,抗爆,1
antilepton,,a science term,抗替普顿,1
antilog,,a math term,反对数,1
antilogarithm,,a mathematics term,反对数,1
antimacassar,,material that protects a chair,反望加沙,1
antimalarial,,a kind of drug,抗疟药,1
antimatter,/ætaɪˈmætɝ/,a type of matter,反物质,1
antimeson,,a science term,反泰梅森,1
antimetabolite,,a kind of drug,抗代谢药,1
antimicrobial,,a medical term,抗菌剂,1
antimicrobic,,a medical term,抗菌的,1
antimuon,,a physics term,反μ子,1
antimycin,,a kind of medicine,抗霉素,1
antimycotic,,a kind of medicine,抗真菌的,1
antineoplastic,,a kind of drug,抗肿瘤药物,1
antineutrino,,a physics term,反中微子,1
antineutron,,a very small piece of matter,反中子,1
antinode,,a science term,腹,1
antinomasia,,the use of a title for a name,反癖,1
antinomian,,relating to a moral belief,反律法主义者,1
antinomianism,,a Christian principle,反律法主义,1
antinomy,/æˈtɪnoʊˌmi/,conflict between 2 statements,悖论,1
antiparticle,,an opposite type of particle,反粒子,1
antiphon,"/ˈæntəˌfɑn/, /ˈæntɪˌfɑn/",a song to be sung in response,对经,1
antiphonal,,a collection of song parts,对歌的,1
antiphonary,,relating to a song to sing,对歌,1
antiphony,,act of singing in two parts,对唱,1
antiphrasis,,the opposite use of a word,反义词,1
antipodal,/ænˈtɪpədəɫ/,situated at the opposite sides,对足的,1
antipope,,one elected in opposition,对立教皇,1
antiproton,,a physics term,反质子,1
antiprotozoal,,a kind of medicine,抗原虫剂,1
antipruritic,,a kind of medicine,止痒的,1
antipsychotic,,a drug used for mental illness,抗精神病药,1
antipyresis,,a kind of medicine,解热,1
antipyretic,,a kind of medicine,解热药,1
antiquark,,a physics term,反夸克,1
antiredeposition,,prevention of depositing again,抗再沉积,1
antisemitism,,hate for Jewish people,反犹太主义,1
antisepsis,,a science term,防腐,1
antiserum,,a medical term,抗血清,1
antispasmodic,,a type of drug,解痉药,1
antistrophe,,the second section in a poem,反营养,1
antisyphilitic,,a kind of medicine,抗梅毒的,1
antitauon,,a science term,安蒂翁,1
antitoxin,/ˌæntiˈtɑksən/,a substance that fights poison,抗毒素,1
antitrade,,a kind of wind,反贸易,1
antitrades,,a kind of wind,反贸易,1
antitussive,,a kind of medicine,镇咳药,1
antitype,,one represented by a symbol,原型,1
antivenene,,a kind of medicine,安替芬烯,1
antivenin,,a kind of medicine,抗蛇毒素,2
antiviral,/ˌæntiˈvaɪɹəɫ/,stopping the growth of viruses,抗病毒物质,1
antlion,,a kind of insect,蚁狮,1
antonymy,,a language term,反义词,1
antrum,,a natural space in bone,窦,1
anuran,,relating to a kind of animal,蜮,1
anuresis,,a medical condition,无尿,1
anuria,,a medical condition,无尿症,1
anxiolytic,,a drug to calm a person,抗焦虑药,1
aorist,,a grammar term,不定过去时,1
aortitis,,a medical condition,主动脉炎,1
aoudad,,a kind of animal,奥达德,1
apadana,,a large room in ancient times,阿帕达纳,1
apanage,,a special right,属地,1
apar,,a kind of animal,阿帕尔,1
apatite,/ˈæpəˌtaɪt/,a natural substance,磷灰石,1
apatosaur,,an animal from past times,雷龙,1
apatosaurus,,an animal from past times,迷惑龙,1
aper,,one who copies others,阿佩尔,1
apercu,/ˈæpɝˌsu/,a short summary,阿佩尔库,1
aperea,,a kind of animal,阿佩雷亚,1
aperient,,making passing waste easier,通便的,1
apery,,the act of copying another,阿佩里,1
aphaeresis,,a language term,单采术,1
aphagia,,a medical condition,失食症,1
aphakia,,a medical condition,无晶体眼,1
aphakic,,a medical condition,无晶状体的,1
aphanite,,a kind of rock,隐晶石,1
aphasia,/əˈfeɪʒə/,lack of ability to use language,失语症,1
aphasic,,one with a medical condition,失语症,1
aphelion,,a point in space,远日点,1
apheresis,,a language term,血浆分离术,1
aphesis,,a language term,断语,1
aphonia,,a medical condition,失音,1
aphorist,,one who creates true statements,格言家,1
aphrodisia,,a great sexual desire,春药,1
apiarist,,a kind of farmer,养蜂师,1
apiary,,a place where bees are kept,蜂房,1
apiculture,,growing bees to produce honey,养蜂业,1
apiculturist,,one who keeps bees,养蜂人,1
apishamore,,a kind of horse covering,阿皮沙莫尔,1
aplacophoran,,a kind of water animal,无板纲,1
aplasia,,a failure of tissue to develop,发育不全,1
aplite,,a kind of rock,阿普利特,1
apnea,/ˈæpniə/,a short pause of breathing,呼吸暂停,1
apoapsis,,a space term,远缘,1
apocope,,a language term,末日,1
apodeme,,a science term,阿波德梅,1
apoenzyme,,a science term,脱辅基酶,1
apogamy,,a science term,近亲授精,1
apojove,,a space term,阿波霍韦,1
apolemia,,a science term,阿波米亚,1
apologetics,,a branch of religious study,护教学,1
apologia,,a formal written defense,道歉,1
apologue,,a short moral story,辩解者,1
apolune,,a space term,阿波伦,1
apomict,,a kind of plant,无融合生殖体,1
apomixis,,a science term,无融合生殖,1
apomorphine,,a kind of drug,阿扑吗啡,1
aponeurosis,,tissues in the body,腱膜,1
apophasis,,a way of saying something,消逝,1
apophatism,,a belief about God,否认主义,1
apophthegm,,a short strong saying,格言,1
apophysis,,a medical term,隆起,1
apoptosis,/ˌæpɔpˈtoʊsɪz/,a type of cell death,细胞凋亡,1
aposelene,,a space term,阿波塞莱内,1
aposiopesis,,act of stopping a sentence,阿西奥佩西斯,1
apostleship,,a specific Christian position,使徒职分,1
apothecium,,a science term,药囊,1
apothegm,,a short saying,格言,1
appanage,,benefit based on one's position,封地,1
apparency,,the state of being obvious,明显性,1
apparentness,,the state of being obvious,表观性,1
appealingness,,a state of being attractive,吸引力,1
appeaser,,one who gives in to demands,绥靖者,1
appendicectomy,,a kind of surgery,阑尾切除术,1
appendicle,,a small added part,阑尾,1
appendicularia,,a kind of water animal,阑尾,1
apperception,,process of knowingly perceiving,知觉,1
appetence,,the state of wanting,欲望,1
appetency,,the state of wanting,食欲,1
appetisingness,,property of stimulating hunger,开胃,1
appetizingness,,property of stimulating hunger,开胃,1
applauder,,one who praises,鼓掌者,1
apple dumpling,,a prepared food,苹果饺子,1
apple tart,,a sweet dish,苹果馅饼,1
apple tree,,a kind of tree,苹果树,1
apple turnover,,a type of sweet dish,苹果营业额,1
applecart,,small pushed vehicle for fruit,苹果车,1
applejack,,a drink with alcohol,苹果白兰地,2
applemint,,a kind of plant,苹果薄荷,1
applet,/ˈæpɫət/,a computer program,小程序,1
applewood,,wood of a fruit tree,苹果木,1
applier,,item for applying a thing,应用者,1
appoggiatura,,a music term,倚音,1
apportioning,/əˈpɔɹʃənɪŋ/,an act of giving things out,分配,1
appositeness,,appropriate quality,恰当性,1
appreciativeness,,friendly feelings of thanks,欣赏性,1
appreciator,,one who is aware of a thing,欣赏者,1
apprehender,,a person who arrests another,逮捕者,1
apprisal,,act of informing by words,评估,1
appro,/ˈæpɹoʊ/,a British word for approval,阿普罗,1
appropriator,/əˈpɹoʊpɹiˌeɪtɝ/,one who takes things,挪用者,1
approver,,one with the power to accept,批准人,1
apraxia,,a medical condition,失用症,1
apsis,,a part of some buildings,近点,1
apteryx,,a kind of bird,无翼鸟,1
aqua fortis,,a substance for soil and fuels,强水,1
aquaculture,/ˈækwəˌkəɫtʃɝ/,act of growing water animals or plants,水产养殖,1
aqualung,/ˈækwəɫəŋ/,device used to breathe,水肺,1
aquanaut,/ˈɑkwəˌnɑt/,one who swims using equipment,潜水员,1
aquaphobia,,strange fear of dying in water,恐水症,1
aquaplane,,a board pulled by a fast boat,滑水板,1
aquatics,,sports in water,水上运动,1
aquatint,,to print with a special method,凹版画,1
aquavit,,a drink with alcohol,阿夸维特,1
aquiculture,,a way of growing plants in water,水产养殖,1
aquilege,,a kind of plant,阿奎莱格,1
aquilegia,,a kind of plant,耧斗菜,1
arability,,the quality of land to farm,耕地能力,1
arachnoid,,relating to a class of animals,蛛网膜,1
arachnophobia,,strange fear of a certain animal,蜘蛛恐惧症,1
aragonite,,a natural substance,霰石,1
arak,,a kind of alcohol,阿拉克,1
aralia,,a kind of plant,龙牙,1
arame,,a sea plant that can be eaten,阿拉梅,1
arariba,,a kind of tree,阿拉里巴,1
araroba,,a kind of medicine,阿拉罗巴,1
araucaria,,a kind of tree,南洋杉,1
arb,/ˈɑɹb/,one who buys and sells,套利,1
arbalest,,a heavy war engine,强弩,1
arbalist,,a war engine,强弩手,1
arbitrament,,act of giving good judgment,仲裁,1
arbitrement,,the act of deciding as a judge,仲裁,1
arboriculture,,the tending of trees,树木栽培,1
arboriculturist,,someone trained in tree care,树木栽培者,1
arborist,,a specialist in treating trees,树艺家,1
arborolatry,,the praise of trees,树崇拜,1
arborvirus,,a science term,虫媒病毒,1
arborvitae,,a type of tree,侧柏,1
arbovirus,,a science term,虫媒病毒,1
arbutus,,a type of plant,杨梅,1
arc light,,a device that produces light,弧光灯,1
arcanum,/ˈɑɹkənəm/,information known to a group,奥秘,1
arccos,,a math term,阿科斯,1
arccosecant,,a math term,反余割,1
arccosine,,a math term,反余弦,1
arccotangent,,a math term,反余切,1
arcdegree,,a math term,弧度,1
arcella,,a tiny animal,阿塞拉,1
archaebacteria,,an ancient life form,古细菌,1
archaebacterium,,ancient life forms,古细菌,1
archaeobacteria,,ancient life forms,古细菌,1
archaeopteryx,,an ancient bird,始祖鸟,1
archaeornis,,a bird from past times,古鸟属,1
archaicism,,the use of an old expression,古风主义,1
archaist,,an expert of old objects,仿古主义者,1
archdeaconry,,the region of a clergy member,副主教,1
archduchy,,the region of a royal person,大公国,1
archegonium,,a plant term,颈卵器,1
archenteron,,a science term,阿彻特龙,1
archeobacteria,,ancient life forms,古细菌,1
archeopteryx,,a kind of bird of past times,始祖鸟,1
archerfish,,a kind of fish,射水鱼,1
archespore,,a kind of cell,始孢子,1
archesporium,,a kind of cell,孢子原,1
archiannelid,,a kind of water worm,阿奇安内利德,1
archidiaconate,,office of a church official,阿基迪康酸,1
archil,,a kind of plant,阿奇尔,1
archimandrite,,a senior religious leader,阿奇曼德特,1
archine,,a unit of length,阿奇内,1
archipallium,,a medical term,群岛,1
architeuthis,,a kind of water animal,建筑,1
architrave,/ˈɑɹkəˌtɹeɪv/,frame around a door,楣梁,1
archives,/ˈɑɹˌkaɪvz/,collection of records,档案,3
archosaur,,animals from past times,祖龙,1
archosaurian,,of animals from past times,祖龙类,1
archpriest,,a clergy member,大祭司,1
arcminute,,a unit of distance,弧分,1
arcsec,,a math term,弧秒,1
arcsecant,,a math term,反正割线,1
arcsecond,,a science term,角秒,1
arcsin,,a math term,反正弦,1
arcsine,,a math term,反正弦,1
arctan,,a math term,反正切,1
arctangent,,a math term,反正切,1
arctiid,,a kind of insect,牛蒡子,1
arcus,,a white substance in the eye,弧线,1
ardeb,,a unit of dry measure,阿尔代布,1
areaway,,a passage between buildings,偏远地区,1
areca,,a type of tree,槟榔,1
areflexia,,a sign of nerve damage,反射消失,1
arenavirus,,a kind of animal illness,沙粒病毒,1
areola,,spaces between lines on a leaf,乳晕,1
arere,,a kind of tree,阿雷尔,1
arete,,a sharp narrow mountain area,阿雷特,1
arethusa,,a kind of flower,阿瑞图萨,1
argal,,a kind of animal,盘藻,1
argali,,a kind of animal,盘羊,1
argasid,,a kind of insect,阿加西德,1
argemone,,a kind of plant,阿杰莫内,1
argent,/ˈɑɹdʒɪnt/,of a bright gray color,银色,1
argentine,/ˈɑɹdʒənˌtin/,a kind of fish,阿根廷,2
argentinosaur,,an animal from past times,阿根廷龙,1
argentite,,a natural substance,银矿,1
argil,,a white clay,粘土,1
argillite,,a kind of rock,泥质岩,1
arginine,,a chemistry term,精氨酸,1
argonaut,/ˈɑɹɡəˌnɔt/,one involved in dangerous act,阿尔戈英雄,1
argonon,,a kind of element,氩气,1
argosy,/ˈɑɹɡəsi/,a large trading ship,阿戈西,1
argus,/ˈɑɹɡəs/,a kind of animal,阿古斯,1
argyle,/ˈɑɹˌɡaɪɫ/,a vessel for a liquid food,亚皆老街,2
argyll,/ɑɹˈɡaɪɫ/,a covered food holder,阿盖尔,1
argyrodite,,a natural substance,银辉石,1
arianist,,one who denies Jesus was God,阿里亚主义者,1
aridness,,a lack of water,干旱,1
arietta,,a kind of song,阿丽埃塔,1
aril,,covers of seeds,假种皮,1
arioso,,a music term,阿里奥索,1
arishth,,a kind of tree,阿里什特,1
arista,/ɝˈɪstə/,a part of a fly,芒,1
arithmancy,,a way to tell about the future,算术占卜,1
arithmetician,,a specialist in a type of math,算术家,1
arity,,a math term,数量,1
arles,,money given by a buyer,阿尔勒,1
arm's length,,a distance preventing being close,手臂的长度,1
armamentarium,,a medical term,军械库,1
armet,,a head piece for protection,阿尔梅特,1
armguard,,a covering for the arm,护臂,1
armiger,/ˈɑɹmɪɡɝ/,a kind of high ranking man,阿米格尔,1
armilla,/ɑɹˈmɪɫə/,a device with metal rings,蜜环菌,1
armlet,,a band worn around the arm,臂章,1
arms control,,limitation on an armed forces,军备控制,1
armyworm,,a kind of insect,粘虫,1
arnica,,cream used in treating injury,山金车,1
aroid,,a kind of plant,天南星,1
arouser,,one who wakes up others,唤起者,1
arpent,,a former French unit of area,阿尔彭,1
arquebus,,a type of old gun,火绳枪,1
arrack,,a kind of drink with alcohol,阿拉克酒,1
arras,,a type of wall hanging,阿拉斯,1
arrester,,a device that slows aircrafts,避雷器,1
arrhythmia,/ɝˈɪðmiə/,a heart rate that isn't normal,心律失常,2
arriere pensee,,a doubt not said,阿里埃彭塞,1
arrivederci,,a remark said when leaving,到达尔吉,1
arriver,,one who has arrived,到达者,1
arriviste,,an unaccepted rich person,暴发户,1
arroba,,a unit of weight,阿罗巴,1
arrogation,,act of taking by the government,霸权,1
arrogator,,one with pride without reason,傲慢者,1
arrowsmith,"/ˈæɹoʊsˌmɪθ/, /ˈɛɹoʊsˌmɪθ/",a maker of pointed weapons,箭匠,1
arrowworm,,a kind of worm,箭虫,1
arroyo,/ɝˈɔɪoʊ/,a stream,阿罗约,2
arsenate,,a salt,砷酸盐,1
arsenical,,a kind of chemical or drug,砷,1
arsenide,/ˈɑɹsəˌnaɪd/,a chemistry term,砷化物,1
arsenopyrite,,a natural substance,毒砂,1
arsine,,a dangerous gas,胂,1
artemisia,,a kind of plant,蒿属,1
arteria,,a vessel that carries blood,动脉,1
arteriectasia,,a medical condition,动脉扩张,1
arteriectasis,,a medical condition,动脉扩张,1
arteriogram,,a medical image,动脉造影,1
arteriography,,a kind of medical exam,动脉造影,1
arteriola,,a medical term,小动脉,1
arteriole,,a small thin blood vessel,小动脉,1
arteriolosclerosis,,a type of heart disease,动脉硬化,1
arteritis,,a kind of disease,动脉炎,1
arthralgia,,a medical condition,关节痛,1
arthrocentesis,,a medical procedure,关节穿刺术,1
arthrodesis,,a medical procedure,关节固定术,1
arthrogram,,a medical image,关节造影,1
arthrography,,a kind of medical exam,关节造影术,1
arthromere,,a section of an animal,关节节,1
arthropathy,,a problem in a joint,关节病,1
arthroplasty,,surgery of a joint,关节成形术,1
arthropod,/ˈɑɹθɹəˌpɑd/,an animal with external bones,节肢动物,1
arthroscope,,an instrument to examine joints,关节镜,1
arthroscopy,,a medical procedure,关节镜检查,1
arthrospore,,a science term,节孢子,1
articulatio,,a medical term,发音,1
articulator,,one who says words clearly,咬合架,1
artificer,,one responsible for weapons,技师,1
artilleryman,,a member of an armed force,炮兵,1
artiodactyl,/ˌɑɹtioʊˈdæktəɫ/,a kind of animal,偶蹄类,1
arui,,a kind of animal,阿瑞,1
arum,/ˈɛɹəm/,a kind of plant,海芋,1
arytaenoid,,a medical term,芳烃类,1
arytenoid,,a medical term,杓状软骨,1
asafetida,,a substance from plants,阿魏,1
asafoetida,,a substance from plants,阿魏,1
asana,,a manner of sitting,体式,1
asarabacca,,a kind of plant,阿萨拉巴卡,1
asbestosis,"/ˌæsˌbɛsˈtoʊsəs/, /ˌæsˌbɛsˈtoʊsɪs/",a medical condition,石棉沉滞症,1
ascariasis,,a medical condition,蛔虫病,1
ascendence,,state of one having the power,上升,1
ascendent,,a relative from the past,优势,1
ascender,,someone who goes up,上升器,1
ascesis,,state of not taking for oneself,苦行,1
ascidian,,a kind of water animal,海鞘,1
ascites,,a liquid gathered in the chest,腹水,1
asclepiad,,a kind of plant,马利匹德,1
ascocarp,,a science term,子囊果,1
ascolichen,,a kind of plant,子囊地衣菌,1
ascoma,,a science term,子囊瘤,1
ascomycete,,a science term,子囊菌,1
ascospore,,a science term,子囊孢子,1
ascription,,the act of assigning a quality,归属,1
ascus,,a science term,子囊,1
asdic,,a measuring instrument,阿斯迪克,1
asepsis,,a medical term,无菌,1
asexuality,,having no sex parts,无性恋,1
ashbin,,a bin used to collect waste,垃圾桶,1
ashcake,,a kind of prepared food,灰饼,1
ashcan,,a bin used to collect waste,垃圾桶,1
ashlar,,a block of stone for buildings,方石,1
asininity,,a way of being stupid,愚蠢,1
asparaginase,,a kind of medicine,天冬酰胺酶,1
asparagine,,a kind of substance,天冬酰胺,1
aspartame,/ˈæspɝˌteɪm/,a false thing that makes sweet,阿斯巴甜,1
asper,/ˈæspɝ/,currency in Turkey,按照,1
aspergill,,a device for a religious act,曲霉菌,1
aspergillosis,,a disease of birds,曲霉菌病,1
aspersion,/əˈspɝʒən/,an abusive remark,诽谤,1
aspersorium,,a vessel for water in churches,孢霉属,1
asphodel,,a kind of plant,水仙,1
asphyxiator,,a device to put out fires,窒息者,1
